"country_name","country_code","yr2000","yr2001","yr2002","yr2003","yr2004","yr2005","yr2006","yr2007","yr2008","yr2009","yr2010","yr2011","yr2012","yr2013","yr2014","yr2015"
"Afghanistan","AFG",NA,NA,179.426610967229,190.683814295088,211.382116942655,242.031284871985,263.733691663044,359.693237501395,364.6607447985,438.076034406941,543.303041863931,591.162759035926,641.871479157539,637.165523187024,613.856689167623,578.466352941708
"Albania","ALB",1126.68331762741,1281.65939343074,1425.12484888368,1846.11881331912,2373.57984371994,2673.78728253113,2972.74326462176,3595.03716321514,4370.54012699014,4114.14011404922,4094.3503344202,4437.14288515077,4247.62998374252,4413.06086120676,4578.6319939825,3952.80121524465
"Algeria","DZA",1764.97382982785,1740.64242309447,1781.83736487376,2103.41305835023,2609.94560777437,3113.10109432814,3478.65487075233,3950.51936900172,4923.62926502041,3883.26127101905,4480.79927130159,5455.85352874953,5592.25709916356,5499.58148704572,5493.02558996263,4177.89251546889
"American Samoa","ASM",NA,NA,8700.06770480704,8856.54745899435,8578.94472277609,8444.98169974145,8391.56106721708,8909.44915617236,9792.66680581646,11961.2582255703,10271.2245225485,10294.3022651052,11568.7930012395,11505.3937142139,11507.2323493037,11843.3311832581
"Andorra","AND",21854.2468030614,22971.535535508,25066.8822109807,32271.9639023596,37969.1749907994,40066.2569185146,42675.8127569297,47803.6936075266,48718.4968691913,43503.1855156769,40852.6667774434,43335.3288618283,38686.4612635075,39538.7667220426,41303.9293714464,35762.523073758
"Angola","AGO",556.836318086553,527.333528536691,872.494491592841,982.960899291112,1255.56404471491,1902.42234554625,2599.56646397608,3121.99563726236,4080.94140992346,3122.78076649385,3587.88379824396,4615.46802807906,5100.09580809767,5254.88233799616,5408.41049555432,4166.97968386501
"Antigua and Barbuda","ATG",10920.8426880891,10370.6711296076,10404.4362134662,10789.950959787,11446.6384702767,12547.6130399103,13989.7156660433,15607.0898690088,16024.3455512142,14113.0772600466,13049.2570545735,12746.2050243357,13272.4413293826,12909.7441775006,13501.5809223367,14286.0931598293
"Argentina","ARG",7708.10099605414,7208.3715665121,2593.40415042466,3349.8061244115,4277.72135064389,5109.85132522621,5919.01203707753,7245.44831728945,9020.87309807194,8225.13717626412,10385.9644319555,12848.8641969705,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772
"Armenia","ARM",622.742139063498,694.42322774468,783.240698647042,930.127321851799,1191.91901957402,1643.7530293611,2158.14369710179,3139.27749894333,4010.85724255226,2994.34254448509,3218.37270660563,3525.80474671153,3681.8574560431,3838.18580148382,3986.23162376713,3607.29669672271
"Aruba","ABW",20620.7006259175,20669.0319688645,20436.8871286309,20833.7616116694,22569.9749851801,23300.0395575696,24045.2724833547,25835.1326676284,27084.7036903653,24630.4537141023,23512.6025956397,24985.9932813737,24713.6980451285,26189.4355088129,26647.938100985,27980.8806952751
"Australia","AUS",21679.2478424147,19490.8611097303,20082.4832672749,23447.0310006717,30430.6764374443,33999.2428575835,36044.9228108485,40960.0544948199,49601.6567082178,42772.3591664498,52022.1255961876,62517.8337471503,68012.1479005934,68150.1070413215,62510.7911705641,56755.7217124249
"Austria","AUT",24564.4582948404,24537.5142629883,26401.7454564357,32222.8972411655,36821.5214680093,38403.1338770715,40635.2818159724,46855.7717452095,51708.7657541758,47963.1794023217,46858.0432733717,51374.9584066934,48567.69528642,50716.7087062864,51717.4959405515,44178.0473777432
"Azerbaijan","AZE",655.097432602586,703.683843432722,763.080637985358,883.64399654717,1045.00937916805,1578.40239029603,2473.08181863536,3851.43786871172,5574.60380218613,4950.29479142375,5842.80578358576,7189.69122920765,7496.29464768263,7875.75695254288,7891.31314749986,5500.31038244408
"Bahamas, The","BHS",27097.6108115725,27486.2367737544,28866.8010141065,28327.2708691945,28395.9246646221,30278.3669222647,30713.7052801382,31472.09897181,30627.2386311725,28552.1904783698,28443.4076553352,28006.3797183913,29485.6209294138,28768.0298936727,29445.030528852,31405.9635601781
"Bahrain","BHR",13636.3962320368,12868.269156127,13049.8032204458,14222.0367965749,15846.5441389804,17959.2554402285,19307.609663318,20976.5435328438,23066.5337586893,19355.9046720264,20722.1372891347,22514.2379458146,23654.3513912828,24744.296958551,24989.4001204704,22688.9443998144
"Bangladesh","BGD",418.068968311378,415.034426620147,413.080254575162,446.310659190362,475.291919786935,499.461940239156,509.640142873216,558.051860266708,634.987056467494,702.264410019296,781.153593557047,861.758444349051,883.105000541313,981.839879150399,1118.8536634927,1248.45339778371
"Barbados","BRB",11268.2540559453,11209.1743119266,11361.433665539,11699.4557629707,12512.5325118786,13822.5916771315,15199.4579730933,16770.7212055974,17092.5821408414,15885.5797142695,16056.3709766031,16458.3532105715,16249.5593937258,16451.1635759912,16489.0722373387,16525.0732500596
"Belarus","BLR",1276.2880341,1244.37318523431,1479.31458271677,1819.76605926177,2378.62328600741,3125.81053502853,3847.43412382153,4735.65760793999,6377.36973201232,5351.35538243278,6029.3967998293,6519.23019498892,6940.15925359735,7978.87261471076,8318.51268992675,5949.10630699748
"Belgium","BEL",23041.5347290428,22995.1575247288,24887.5613341833,30587.6684093796,35364.3753314368,36795.9768819639,38672.7059429767,44262.8960009954,48106.892915788,44583.5448070814,44141.8781415734,47348.5250202016,44673.1158755901,46744.6625441516,47700.5403601178,40991.8081381432
"Belize","BLZ",3364.33293572974,3404.4530174898,3525.63858250311,3650.36652129535,3802.29580765559,3883.19238900634,4153.89473756475,4252.48725022991,4404.33083569354,4186.48996519998,4270.86434454699,4423.48979672175,4505.62130177515,4568.50295763852,4705.60268956266,4775.95564827821
"Benin","BEN",511.40022696311,517.614229562716,572.22879536799,709.690533155786,797.312680014661,822.457830930625,855.294039238491,964.926944015568,1120.88827324575,1084.39390022006,1036.53395164469,1130.27313181143,1145.14081099947,1251.21051783537,1291.40980818577,1076.79771601166
"Bermuda","BMU",56284.1686478094,58883.9594265967,62583.1002034588,66111.7252270036,70359.3191088798,75882.0338560339,83912.6977976846,90849.5869806436,93605.7481653976,88463.3128161375,88207.3275597322,85973.158416455,85458.455507886,85748.0654143782,NA,NA
"Bhutan","BTN",718.187830716068,764.436607362252,845.510279785017,962.096903699603,1068.42177628385,1228.44182357066,1330.9652965442,1757.18256732535,1828.14923277736,1819.2134010249,2258.18314115595,2563.2575266012,2538.94590031276,2472.71430857435,2652.21458893197,2752.66420790266
"Bolivia","BOL",997.582459886835,948.871206629035,904.226627282534,907.537110090057,967.406991954858,1034.31124023689,1218.87445946804,1372.6282248299,1715.20892185853,1754.21106094735,1955.46155736098,2346.33717022581,2609.88081915425,2908.20008548078,3081.87883446506,3035.97221489277
"Bosnia and Herzegovina","BIH",1467.77647716048,1530.81481604112,1769.19982792241,2224.7458643849,2814.9998948741,2980.60210893151,3416.51059575812,4193.3736517833,5090.93234464687,4714.7024950516,4635.51777931783,5092.55194328895,4778.63608845506,5131.39450642932,5329.63504488766,4727.27754622207
"Botswana","BWA",3522.30867806396,3278.0082497438,3190.6154528255,4330.94490040766,5073.5376499682,5520.12471972503,5516.03920965133,5832.733941653,5713.53498332841,5255.76846136181,6434.81565688465,7617.32509421648,7070.37655030163,7224.96517150786,7780.63838460394,6799.87523352768
"Brazil","BRA",3749.75324996168,3156.79871788773,2829.28319217077,3070.91049061377,3637.46238925733,4790.43708777366,5886.46358837728,7348.03079355548,8831.02311697566,8597.91535151623,11286.2430162457,13245.6124995448,12370.0242007149,12300.3248822758,12112.5882059697,8814.00098681261
"British Virgin Islands","VGB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brunei Darussalam","BRN",18012.5562597047,16472.1486214944,16850.1511253805,18560.6085730701,21902.0880525832,26105.2790303114,30979.8791725798,32663.5665921613,37934.3765067984,27955.7138629359,35269.5531076448,47055.8411171808,47740.5149015856,44740.085018517,41726.7839720342,31164.5620291141
"Bulgaria","BGR",1621.24296080247,1770.91353394746,2092.95769387611,2719.49765607059,3389.70704883102,3899.90763774017,4523.0508329806,5885.10434781837,7265.73549682997,6984.96597556864,6809.89898414354,7806.34865242499,7393.1891769154,7651.8178806676,7874.26090425646,7053.60370638709
"Burkina Faso","BFA",254.71752910271,266.864155700802,293.280746694164,373.787629424466,417.627063658882,457.751545461446,473.029184890069,534.355886396282,640.810877444643,621.673103384282,647.835846453449,751.172957247699,758.000701423857,787.47017629755,792.846778432074,653.32697954543
"Burundi","BDI",136.46397080034,134.363447507999,123.117627963477,113.567366369381,128.336612834582,151.681463366485,167.376484505492,172.495859926837,198.352900555063,212.136880390025,234.235646874999,249.577979366801,252.358979858344,256.976002796754,274.857947913846,305.549772797441
"Cabo Verde","CPV",1259.32365602588,1292.20278510801,1401.90373253543,1809.08992549778,2024.27524765788,2099.15748405491,2361.38513425545,3186.82689181153,3721.2509487106,3517.40124546087,3378.25485950035,3740.38909850629,3447.5240412173,3615.97904131099,3588.6740539538,3043.01398430098
"Cambodia","KHM",302.577163565133,321.150301305966,338.987262704572,362.335707650169,408.513826347366,474.111227790099,539.750168717216,631.524842114382,745.609180660928,738.054783617506,785.502282874113,882.275492640073,950.880345993697,1013.4204006154,1093.49619050796,1162.90491997151
"Cameroon","CMR",649.991845405048,651.100907498053,707.887567392905,865.958137544256,1009.94312043658,1011.88007278296,1062.13743331336,1194.06985039841,1371.7467084914,1314.70601531227,1286.51557161767,1405.09439231907,1354.54561274707,1465.63884316769,1542.62026621531,1327.50301711492
"Canada","CAN",24190.2496150045,23738.180723841,24169.2847344718,28200.6580773382,32034.3077408421,36266.1871235853,40385.869955477,44543.0410359004,46594.4509535289,40773.061528975,47448.0132198383,52087.446383568,52678.3901234772,52652.5936828278,50893.4467137547,43585.5119817751
"Cayman Islands","CYM",NA,NA,NA,NA,NA,NA,83322.7834434623,85434.2681740934,85187.8402352083,77398.0158439916,73350.7848219067,72328.411640906,72783.320437604,73515.8953177856,74990.4332223775,76280.4862528245
"Central African Republic","CAF",251.206877406698,250.357011372018,260.745527274366,293.661851679435,320.737460311924,331.162924198911,354.671380067866,404.373964962741,464.561422116684,474.705408664923,488.421401781569,551.750096552583,565.800696971217,380.298167643018,424.448751343631,377.423001679447
"Chad","TCD",165.762986567833,196.973697588171,220.375976439973,291.944851631847,453.521817214165,658.304957827585,709.76519509459,798.548001258871,925.636084270572,800.464224935635,892.568720336953,984.735891490329,967.352797482929,979.812409638156,1020.28820350586,776.019532308037
"Channel Islands","CHI",43381.6578397785,41804.3709161492,44544.4334390505,48859.4830207585,56753.3861971042,58197.4493814049,63239.6538290931,74462.646746792,NA,NA,NA,NA,NA,NA,NA,NA
"Chile","CHL",5074.90162375009,4574.59442067573,4446.25050488693,4772.5628196506,6194.85310698418,7598.52512108889,9464.55024290607,10502.3545202737,10751.479674217,10208.9067622861,12808.034586422,14637.2402355403,15351.5513257697,15842.9408052125,14670.996760602,13574.171830724
"China","CHN",959.372483639691,1053.10824300452,1148.5082904417,1288.64325183381,1508.66809788266,1753.41782925823,2099.22943460447,2693.96982683485,3468.30446324747,3832.23595156727,4550.45359583857,5618.13249134962,6316.91886335683,7050.64591988963,7678.599431661,8066.94242356745
"Colombia","COL",2520.48089795902,2439.68183603183,2396.62727370774,2281.40196044815,2782.62305010841,3414.46583317223,3741.09317111969,4714.07254101202,5472.5361334524,5193.24145075546,6336.70921367988,7335.11050963648,8050.05841420756,8218.03399561565,8114.08406910545,6175.87613151279
"Comoros","COM",645.818690802056,680.318541425182,744.475172433634,935.611518034788,1059.17688421808,1068.60032134875,1113.95775719606,1238.46151380518,1387.59462639938,1339.33719065958,1316.49884810552,1447.96358713476,1403.34861983706,1505.34947313614,1513.8303792438,1242.6031895579
